obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
320,5.25,0,1,0,12,0,18,0,0,1.65822803974152,0,0,0,0,1,12
321,17.2999992370605,0,0,0,14,26,46,1,0,2.85070633888245,364,0,0,0,0,0
322,7.17999982833862,1,0,1,12,21,39,0,0,1.97129940986633,252,1,12,21,0,0
323,6.25,0,0,0,16,22,44,1,0,1.83258152008057,352,0,0,0,0,0
324,7,1,0,0,12,46,64,0,0,1.94591009616852,552,1,12,46,0,0
325,11.539999961853,1,0,1,12,35,53,1,0,2.44581913948059,420,1,12,35,0,0
326,7.30000019073486,1,0,0,12,0,18,0,0,1.98787438869476,0,1,12,0,0,0
327,7,1,0,0,16,3,25,0,0,1.94591009616852,48,1,16,3,0,0
328,8,0,0,0,12,8,26,0,0,2.0794415473938,96,0,0,0,0,0
329,7,0,0,1,12,41,59,0,0,1.94591009616852,492,0,0,0,0,0
330,5.5,1,1,0,12,2,20,0,1,1.70474803447723,24,1,12,2,1,12
331,10,1,1,0,12,9,27,0,1,2.30258512496948,108,1,12,9,1,12
332,40,0,0,0,18,41,65,1,0,3.68887948989868,738,0,0,0,0,0
333,11.539999961853,1,0,0,16,3,25,1,0,2.44581913948059,48,1,16,3,0,0
334,14.4300003051758,1,0,0,12,6,24,1,0,2.66930937767029,72,1,12,6,0,0
335,22.5,0,0,0,18,3,27,1,0,3.11351537704468,54,0,0,0,0,0
336,8.42000007629395,1,0,0,12,23,41,1,0,2.13060975074768,276,1,12,23,0,0
337,13.75,0,0,0,12,36,54,0,0,2.62103891372681,432,0,0,0,0,0
338,5.34000015258789,1,0,0,12,32,50,0,0,1.67522573471069,384,1,12,32,0,0
339,12.0299997329712,0,1,0,12,8,26,1,0,2.48740339279175,96,0,0,0,1,12
340,7,1,1,1,12,7,25,0,1,1.94591009616852,84,1,12,7,1,12
341,5.09999990463257,0,0,0,5,36,47,0,0,1.6292405128479,180,0,0,0,0,0
342,12.5,1,0,0,18,0,24,1,0,2.52572870254517,0,1,18,0,0,0
343,16,1,0,0,16,9,31,0,0,2.7725887298584,144,1,16,9,0,0
344,25,0,0,1,12,24,42,0,0,3.21887588500977,288,0,0,0,0,0
345,12.9799995422363,0,0,1,12,37,55,1,0,2.56340956687927,444,0,0,0,0,0
346,6.92000007629395,1,0,0,1,26,33,0,0,1.93441581726074,26,1,1,26,0,0
347,9.38000011444092,1,1,0,18,9,33,1,1,2.23857975006104,162,1,18,9,1,18
348,37.5,0,0,0,16,35,57,1,0,3.62434101104736,560,0,0,0,0,0
349,19.2299995422363,0,0,0,20,12,38,0,0,2.95647144317627,240,0,0,0,0,0
350,11.1899995803833,1,0,0,16,29,51,1,0,2.41502046585083,464,1,16,29,0,0
351,11.5,1,0,0,12,29,47,0,0,2.44234704971313,348,1,12,29,0,0
352,14.6400003433228,1,0,0,14,12,32,1,0,2.68375754356384,168,1,14,12,0,0
353,25,0,0,1,14,30,50,0,0,3.21887588500977,420,0,0,0,0,0
354,9,0,0,0,11,13,30,0,0,2.19722461700439,143,0,0,0,0,0
355,14.9099998474121,1,0,0,12,20,38,1,0,2.7020320892334,240,1,12,20,0,0
356,8.5,0,0,0,14,2,22,1,0,2.14006614685059,28,0,0,0,0,0
357,21.1599998474121,0,0,0,16,9,31,1,0,3.0521125793457,144,0,0,0,0,0
358,17.0499992370605,1,0,0,18,23,47,1,0,2.83615016937256,414,1,18,23,0,0
359,6.09999990463257,1,0,0,12,6,24,0,0,1.80828881263733,72,1,12,6,0,0
360,15.9499998092651,0,0,0,16,14,36,1,0,2.76945877075195,224,0,0,0,0,0
361,9.78999996185303,0,0,1,12,21,39,0,0,2.28136134147644,252,0,0,0,0,0
362,14.1599998474121,1,0,0,16,9,31,1,0,2.65042114257812,144,1,16,9,0,0
363,28.3799991607666,0,0,0,14,31,51,1,0,3.34568452835083,434,0,0,0,0,0
364,5.5,0,0,0,1,25,32,0,0,1.70474803447723,25,0,0,0,0,0
365,5,0,0,1,12,9,27,0,0,1.60943794250488,108,0,0,0,0,0
366,11.5299997329712,1,0,0,12,26,44,1,0,2.44495224952698,312,1,12,26,0,0
367,16,0,0,0,16,7,29,0,0,2.7725887298584,112,0,0,0,0,0
368,33.2200012207031,0,0,0,18,13,37,1,0,3.5031521320343,234,0,0,0,0,0
369,12,0,0,0,12,15,33,0,0,2.4849066734314,180,0,0,0,0,0
370,19.25,1,0,0,12,22,40,1,0,2.95751094818115,264,1,12,22,0,0
371,38.4500007629394,1,0,0,12,32,50,1,0,3.64935874938965,384,1,12,32,0,0
372,4.25,1,0,0,12,3,21,0,0,1.44691896438599,36,1,12,3,0,0
373,0.839999973773956,1,0,0,10,35,51,1,0,-0.174353420734406,350,1,10,35,0,0
374,7.05999994277954,1,1,0,12,12,30,0,1,1.9544450044632,144,1,12,12,1,12
375,4.75,1,0,0,12,1,19,0,0,1.55814456939697,12,1,12,1,0,0
376,4,0,1,0,12,7,25,0,0,1.3862943649292,84,0,0,0,1,12
377,15,1,0,0,11,38,55,1,0,2.70805025100708,418,1,11,38,0,0
378,23.0799999237061,0,0,0,16,8,30,1,0,3.13896632194519,128,0,0,0,0,0
379,17.5,1,0,0,18,38,62,0,0,2.86220097541809,684,1,18,38,0,0
380,13.75,1,0,0,12,14,32,1,0,2.62103891372681,168,1,12,14,0,0
381,5,1,0,0,12,17,35,0,0,1.60943794250488,204,1,12,17,0,0
382,8,0,0,0,11,5,22,0,0,2.0794415473938,55,0,0,0,0,0
383,10,1,0,0,12,9,27,0,0,2.30258512496948,108,1,12,9,0,0
384,21.0200004577637,0,0,0,16,9,31,1,0,3.04547429084778,144,0,0,0,0,0
385,6.03999996185303,1,0,0,12,21,39,0,0,1.79840397834778,252,1,12,21,0,0
386,7,1,0,0,12,8,26,0,0,1.94591009616852,96,1,12,8,0,0
387,4.25,0,1,0,12,3,21,0,0,1.44691896438599,36,0,0,0,1,12
388,11,1,0,1,12,23,41,0,0,2.39789533615112,276,1,12,23,0,0
389,4.5,0,0,0,9,23,38,0,0,1.5040774345398,207,0,0,0,0,0
390,18,0,0,1,12,28,46,0,0,2.89037179946899,336,0,0,0,0,0
391,9,0,0,0,12,6,24,0,0,2.19722461700439,72,0,0,0,0,0
392,12,1,0,0,14,16,36,0,0,2.4849066734314,224,1,14,16,0,0
393,17.8600006103516,0,0,1,16,22,44,1,0,2.88256359100342,352,0,0,0,0,0
394,26.9200000762939,0,0,0,16,31,53,1,0,3.29286956787109,496,0,0,0,0,0
395,16.25,1,0,0,16,13,35,0,0,2.78809285163879,208,1,16,13,0,0
396,8.75,0,0,0,12,17,35,1,0,2.16905379295349,204,0,0,0,0,0
397,14.4799995422363,1,0,0,18,12,36,1,0,2.67276835441589,216,1,18,12,0,0
398,24.0499992370605,0,0,1,14,26,46,1,0,3.18013501167297,364,0,0,0,0,0
399,3.84999990463257,0,0,0,12,18,36,1,0,1.34807312488556,216,0,0,0,0,0
400,27.8799991607666,0,0,0,16,27,49,1,0,3.32790946960449,432,0,0,0,0,0
401,5,1,0,0,12,43,61,0,0,1.60943794250488,516,1,12,43,0,0
402,16.5,0,0,0,16,12,34,1,0,2.80336046218872,192,0,0,0,0,0
403,7.21000003814697,1,0,0,12,33,51,0,0,1.97546899318695,396,1,12,33,0,0
404,13.4499998092651,1,0,0,12,38,56,1,0,2.59897899627686,456,1,12,38,0,0
405,10.0500001907349,0,0,0,11,22,39,0,0,2.30757260322571,242,0,0,0,0,0
406,4.25,1,0,0,12,5,23,0,0,1.44691896438599,60,1,12,5,0,0
407,6.75,1,0,0,12,22,40,0,0,1.90954256057739,264,1,12,22,0,0
408,15,0,0,1,20,16,42,1,0,2.70805025100708,320,0,0,0,0,0
409,7.5,1,0,0,18,19,43,0,0,2.01490306854248,342,1,18,19,0,0
410,8.5,0,0,0,14,6,26,0,0,2.14006614685059,84,0,0,0,0,0
411,7.21000003814697,1,0,0,12,20,38,0,0,1.97546899318695,240,1,12,20,0,0
412,9.02000045776367,0,0,0,12,25,43,0,0,2.19944429397583,300,0,0,0,0,0
413,5,1,0,0,12,9,27,0,0,1.60943794250488,108,1,12,9,0,0
414,5.34999990463257,1,0,0,14,8,28,0,0,1.67709648609161,112,1,14,8,0,0
415,6,0,0,0,12,4,22,0,0,1.7917594909668,48,0,0,0,0,0
416,9,1,0,0,12,29,47,0,0,2.19722461700439,348,1,12,29,0,0
417,2.29999995231628,1,0,0,12,5,23,0,0,0.832909107208252,60,1,12,5,0,0
418,5,1,0,0,12,3,21,0,0,1.60943794250488,36,1,12,3,0,0
419,11.3500003814697,1,0,0,7,35,48,0,0,2.42921781539917,245,1,7,35,0,0
420,5,0,0,0,12,2,20,0,0,1.60943794250488,24,0,0,0,0,0
421,8,0,0,0,12,5,23,0,0,2.0794415473938,60,0,0,0,0,0
422,7.98999977111816,0,0,0,12,20,38,1,0,2.07819080352783,240,0,0,0,0,0
423,14,1,0,1,12,24,42,0,0,2.63905739784241,288,1,12,24,0,0
424,10.5799999237061,1,0,0,14,3,23,1,0,2.3589653968811,42,1,14,3,0,0
425,15.3800001144409,0,0,0,11,24,41,1,0,2.73306798934937,264,0,0,0,0,0
426,15,0,0,0,16,8,30,1,0,2.70805025100708,128,0,0,0,0,0
427,13,1,0,0,14,32,52,0,0,2.56494927406311,448,1,14,32,0,0
428,4.44000005722046,0,1,0,12,6,24,1,0,1.49065434932709,72,0,0,0,1,12
429,15.4300003051758,1,1,0,12,31,49,1,1,2.73631358146667,372,1,12,31,1,12
430,9,0,0,0,12,4,22,0,0,2.19722461700439,48,0,0,0,0,0
431,14.1800003051758,1,0,0,12,39,57,1,0,2.65183258056641,468,1,12,39,0,0
432,14.960000038147,0,0,0,16,9,31,1,0,2.70537996292114,144,0,0,0,0,0
433,30.7800006866455,0,0,0,20,27,53,1,0,3.4268651008606,540,0,0,0,0,0
434,17,0,0,0,12,24,42,0,0,2.83321332931519,288,0,0,0,0,0
435,8.5,1,0,0,14,13,33,0,0,2.14006614685059,182,1,14,13,0,0
436,6.75,1,0,0,16,6,28,1,0,1.90954256057739,96,1,16,6,0,0
437,12.5,0,0,0,12,10,28,0,0,2.52572870254517,120,0,0,0,0,0
438,22.2999992370605,0,0,0,16,20,42,1,0,3.10458660125732,320,0,0,0,0,0
439,5,0,0,0,16,21,43,0,0,1.60943794250488,336,0,0,0,0,0
440,4.90000009536743,0,0,0,12,3,21,0,0,1.58923518657684,36,0,0,0,0,0
441,13.75,0,0,1,12,40,58,1,0,2.62103891372681,480,0,0,0,0,0
442,8.60000038146973,1,1,0,12,17,35,0,1,2.15176224708557,204,1,12,17,1,12
443,6.51999998092651,0,0,0,12,46,64,0,0,1.87487435340881,552,0,0,0,0,0
444,4.80000019073486,1,0,0,12,15,33,1,0,1.56861591339111,180,1,12,15,0,0
445,16,0,0,1,12,28,46,0,0,2.7725887298584,336,0,0,0,0,0
446,5,0,0,0,11,1,18,0,0,1.60943794250488,11,0,0,0,0,0
447,5.75,0,0,0,12,3,21,0,0,1.74919986724854,36,0,0,0,0,0
448,7,1,1,0,12,25,43,0,1,1.94591009616852,300,1,12,25,1,12
449,8.85000038146973,1,1,0,12,15,33,0,1,2.18041753768921,180,1,12,15,1,12
450,18.8700008392334,0,0,0,14,14,34,1,0,2.93757343292236,196,0,0,0,0,0
451,30.75,0,0,0,18,27,51,1,0,3.42588996887207,486,0,0,0,0,0
452,5.30000019073486,1,0,0,12,15,33,0,0,1.66770684719086,180,1,12,15,0,0
453,28.8299999237061,1,0,0,14,20,40,1,0,3.36141657829285,280,1,14,20,0,0
454,4.32999992370606,1,0,0,11,26,43,1,0,1.46556746959686,286,1,11,26,0,0
455,6.03999996185303,0,0,0,12,34,52,1,0,1.79840397834778,408,0,0,0,0,0
456,18.6900005340576,0,0,1,16,9,31,0,0,2.9279887676239,144,0,0,0,0,0
457,13.5,1,0,0,12,36,54,0,0,2.60268974304199,432,1,12,36,0,0
458,17.8899993896484,1,0,1,12,24,42,0,0,2.88424181938171,288,1,12,24,0,0
459,13.75,1,0,0,16,9,31,1,0,2.62103891372681,144,1,16,9,0,0
460,7.19999980926514,1,0,0,12,11,29,0,0,1.97408103942871,132,1,12,11,0,0
461,7,1,0,0,12,1,19,0,0,1.94591009616852,12,1,12,1,0,0
462,5,1,0,0,12,10,28,0,0,1.60943794250488,120,1,12,10,0,0
463,17,1,0,0,12,38,56,0,0,2.83321332931519,456,1,12,38,0,0
464,10,0,0,1,12,9,27,0,0,2.30258512496948,108,0,0,0,0,0
465,28.8500003814697,0,1,0,12,20,38,1,0,3.36210989952087,240,0,0,0,1,12
466,13.5,1,0,0,16,2,24,1,0,2.60268974304199,32,1,16,2,0,0
467,7,1,0,0,16,11,33,0,0,1.94591009616852,176,1,16,11,0,0
468,13.4399995803833,1,1,1,12,16,34,0,1,2.59823536872864,192,1,12,16,1,12
469,6,1,1,0,12,4,22,0,1,1.7917594909668,48,1,12,4,1,12
470,9,0,0,1,12,0,18,0,0,2.19722461700439,0,0,0,0,0,0
471,10.1000003814697,0,1,0,12,11,29,0,0,2.31253552436829,132,0,0,0,1,12
472,16.8299999237061,0,1,0,12,27,45,1,0,2.82316303253174,324,0,0,0,1,12
473,20.2000007629395,1,0,0,12,15,33,1,0,3.00568270683289,180,1,12,15,0,0
474,8,1,0,0,12,41,59,0,0,2.0794415473938,492,1,12,41,0,0
475,12.1300001144409,1,0,0,12,23,41,1,0,2.49568176269531,276,1,12,23,0,0
476,3,1,0,0,16,2,24,0,0,1.0986123085022,32,1,16,2,0,0
477,4.34999990463257,1,0,0,12,18,36,0,0,1.47017586231232,216,1,12,18,0,0
478,15.0600004196167,1,0,1,16,28,50,0,0,2.71204233169556,448,1,16,28,0,0
479,5.25,1,0,0,16,5,27,0,0,1.65822803974152,80,1,16,5,0,0
480,21.1499996185303,1,0,0,12,17,35,1,0,3.05163979530334,204,1,12,17,0,0
481,16.8299999237061,0,0,0,12,40,58,1,0,2.82316303253174,480,0,0,0,0,0
482,8.75,1,0,0,9,48,63,0,0,2.16905379295349,432,1,9,48,0,0
483,9.47000026702881,1,0,0,12,24,42,1,0,2.24812889099121,288,1,12,24,0,0
484,9.05000019073486,1,0,0,12,27,45,0,0,2.20276474952698,324,1,12,27,0,0
485,11.5299997329712,0,0,0,12,14,32,1,0,2.44495224952698,168,0,0,0,0,0
486,13,1,0,0,12,38,56,0,0,2.56494927406311,456,1,12,38,0,0
487,5,1,0,0,16,6,28,0,0,1.60943794250488,96,1,16,6,0,0
488,11,0,0,0,12,29,47,0,0,2.39789533615112,348,0,0,0,0,0
489,10.6700000762939,1,0,0,12,21,39,1,0,2.367436170578,252,1,12,21,0,0
490,9.5,0,0,0,12,6,24,0,0,2.25129175186157,72,0,0,0,0,0
491,17.7800006866455,0,0,0,12,18,36,1,0,2.87807416915894,216,0,0,0,0,0
492,26.9300003051758,1,0,0,16,13,35,1,0,3.29324102401733,208,1,16,13,0,0
493,10,1,0,0,12,41,59,0,0,2.30258512496948,492,1,12,41,0,0
494,28.3500003814697,0,0,0,16,34,56,1,0,3.34462714195251,544,0,0,0,0,0
495,8,0,0,0,7,30,43,0,0,2.0794415473938,210,0,0,0,0,0
496,20.6800003051758,1,0,1,18,20,44,1,0,3.02916717529297,360,1,18,20,0,0
497,21.6299991607666,1,0,0,16,11,33,1,0,3.07408118247986,176,1,16,11,0,0
498,16.2999992370605,0,0,1,12,21,39,0,0,2.7911651134491,252,0,0,0,0,0
499,19.9400005340576,1,0,0,18,34,58,0,0,2.99272775650024,612,1,18,34,0,0
500,11.25,1,0,1,11,40,57,1,0,2.42036819458008,440,1,11,40,0,0
501,11.7299995422363,0,0,0,16,22,44,0,0,2.46214962005615,352,0,0,0,0,0
502,12,1,0,0,14,20,40,0,0,2.4849066734314,280,1,14,20,0,0
503,18.1599998474121,1,0,1,14,32,52,1,0,2.89922142028809,448,1,14,32,0,0
504,7.15000009536743,0,0,0,12,1,19,0,0,1.96711242198944,12,0,0,0,0,0
505,38.4500007629394,1,0,0,18,18,42,1,0,3.64935874938965,324,1,18,18,0,0
506,25.4300003051758,1,0,0,18,17,41,1,0,3.23592948913574,306,1,18,17,0,0
507,18.4599990844727,1,0,0,18,27,51,1,0,2.91560626029968,486,1,18,27,0,0
508,36.0499992370605,0,1,0,18,9,33,1,0,3.58490681648254,162,0,0,0,1,18
509,7.88000011444092,1,0,0,20,15,41,1,0,2.06432795524597,300,1,20,15,0,0
510,6,1,0,1,12,5,23,0,0,1.7917594909668,60,1,12,5,0,0
511,38.4599990844727,0,0,0,16,31,53,1,0,3.64961862564087,496,0,0,0,0,0
512,25.8899993896484,1,0,0,16,12,34,1,0,3.25385665893555,192,1,16,12,0,0
513,48.0800018310547,0,0,0,16,38,60,1,0,3.87286639213562,608,0,0,0,0,0
514,9.5,0,0,0,12,18,36,0,0,2.25129175186157,216,0,0,0,0,0
515,16.6000003814697,1,0,0,16,16,38,1,0,2.80940270423889,256,1,16,16,0,0
516,6.5,1,0,0,11,21,38,0,0,1.8718022108078,231,1,11,21,0,0
517,8,1,0,0,12,6,24,0,0,2.0794415473938,72,1,12,6,0,0
518,18.75,1,0,0,12,30,48,1,0,2.93119382858276,360,1,12,30,0,0
519,6.5,1,0,0,10,42,58,0,0,1.8718022108078,420,1,10,42,0,0
520,12.5,1,0,0,16,19,41,1,0,2.52572870254517,304,1,16,19,0,0
521,17,0,0,1,14,27,47,0,0,2.83321332931519,378,0,0,0,0,0
522,5.34999990463257,1,0,0,12,13,31,0,0,1.67709648609161,156,1,12,13,0,0
523,39,0,0,0,16,25,47,0,0,3.66356158256531,400,0,0,0,0,0
524,12.5,0,0,1,12,26,44,1,0,2.52572870254517,312,0,0,0,0,0
525,10.8400001525879,1,0,0,12,38,56,1,0,2.38324308395386,456,1,12,38,0,0
526,9,1,0,0,12,31,49,0,0,2.19722461700439,372,1,12,31,0,0
527,8,0,0,0,12,6,24,0,0,2.0794415473938,72,0,0,0,0,0
528,8.5,1,0,0,16,7,29,0,0,2.14006614685059,112,1,16,7,0,0
529,5.75,1,1,0,16,12,34,1,1,1.74919986724854,192,1,16,12,1,16
530,9,1,0,0,12,26,44,0,0,2.19722461700439,312,1,12,26,0,0
531,8,0,0,0,9,22,37,0,0,2.0794415473938,198,0,0,0,0,0
532,17.2999992370605,0,0,1,18,22,46,1,0,2.85070633888245,396,0,0,0,0,0
533,5,1,0,0,12,14,32,0,0,1.60943794250488,168,1,12,14,0,0
534,5,0,0,0,12,35,53,0,0,1.60943794250488,420,0,0,0,0,0
535,21.8999996185303,0,0,1,14,17,37,0,0,3.08648657798767,238,0,0,0,0,0
536,10.0500001907349,1,0,1,12,23,41,0,0,2.30757260322571,276,1,12,23,0,0
537,17.75,0,0,0,12,21,39,0,0,2.87638545036316,252,0,0,0,0,0
538,4.59999990463257,1,0,0,12,3,21,0,0,1.52605628967285,36,1,12,3,0,0
539,4.25,1,0,0,12,6,24,0,0,1.44691896438599,72,1,12,6,0,0
540,9.34000015258789,0,0,1,12,29,47,0,0,2.23430633544922,348,0,0,0,0,0
541,8.5600004196167,1,0,0,12,12,30,1,0,2.14710021018982,144,1,12,12,0,0
542,25,0,0,0,12,6,24,0,0,3.21887588500977,72,0,0,0,0,0
543,7,1,0,0,12,28,46,0,0,1.94591009616852,336,1,12,28,0,0
544,23.9500007629395,0,0,1,16,40,62,1,0,3.17596840858459,640,0,0,0,0,0
545,4.65000009536743,0,0,0,12,35,53,0,0,1.53686726093292,420,0,0,0,0,0
546,7.15000009536743,0,0,0,14,4,24,0,0,1.96711242198944,56,0,0,0,0,0
547,9.89000034332275,1,0,0,12,35,53,1,0,2.29152417182922,420,1,12,35,0,0
548,18.6499996185303,1,0,1,18,15,39,1,0,2.92584609985352,270,1,18,15,0,0
549,11.6300001144409,0,0,0,12,23,41,1,0,2.45358800888062,276,0,0,0,0,0
550,6.59999990463257,0,0,0,14,10,30,1,0,1.88706958293915,140,0,0,0,0,0
551,10.8000001907349,1,0,0,12,16,34,0,0,2.37954616546631,192,1,12,16,0,0
552,22.6399993896484,0,0,0,20,14,40,1,0,3.11971831321716,280,0,0,0,0,0
553,6.75,1,0,0,12,34,52,0,0,1.90954256057739,408,1,12,34,0,0
554,8,0,1,0,12,4,22,0,0,2.0794415473938,48,0,0,0,1,12
555,9.60999965667725,1,0,0,12,12,30,0,0,2.26280426979065,144,1,12,12,0,0
556,4.25,1,0,0,12,12,30,0,0,1.44691896438599,144,1,12,12,0,0
557,8.77999973297119,1,0,1,12,18,36,0,0,2.17247629165649,216,1,12,18,0,0
558,5.57999992370606,1,0,0,10,10,26,0,0,1.71918880939484,100,1,10,10,0,0
559,7.09999990463257,1,0,0,12,40,58,0,0,1.96009480953217,480,1,12,40,0,0
560,7,1,0,1,14,13,33,0,0,1.94591009616852,182,1,14,13,0,0
561,9,1,0,0,18,14,38,0,0,2.19722461700439,252,1,18,14,0,0
562,5,0,0,0,11,1,18,0,0,1.60943794250488,11,0,0,0,0,0
563,18,0,0,0,12,34,52,0,0,2.89037179946899,408,0,0,0,0,0
564,18,0,0,1,12,23,41,0,0,2.89037179946899,276,0,0,0,0,0
565,16.8299999237061,1,0,0,12,18,36,1,0,2.82316303253174,216,1,12,18,0,0
566,25.6399993896484,0,0,0,16,29,51,1,0,3.24415349960327,464,0,0,0,0,0
567,9.25,1,0,0,12,39,57,0,0,2.22462344169617,468,1,12,39,0,0
568,19.4200000762939,0,0,0,16,30,52,1,0,2.96630334854126,480,0,0,0,0,0
569,12.7200002670288,0,0,0,16,14,36,0,0,2.54317569732666,224,0,0,0,0,0
570,18.4400005340576,0,0,1,12,21,39,0,0,2.91452217102051,252,0,0,0,0,0
571,4.8600001335144,0,0,1,7,52,65,0,0,1.58103847503662,364,0,0,0,0,0
572,12,0,0,0,12,24,42,0,0,2.4849066734314,288,0,0,0,0,0
573,38.4599990844727,0,0,0,16,23,45,1,0,3.64961862564087,368,0,0,0,0,0
574,8.43000030517578,0,1,1,12,22,40,0,0,2.13179683685303,264,0,0,0,1,12
575,7,1,1,1,7,21,34,0,1,1.94591009616852,147,1,7,21,1,7
576,14.1000003814697,0,1,1,16,11,33,1,0,2.64617490768433,176,0,0,0,1,16
577,11,0,0,0,16,24,46,0,0,2.39789533615112,384,0,0,0,0,0
578,26.6000003814697,0,0,0,12,38,56,1,0,3.2809112071991,456,0,0,0,0,0
579,13,1,1,0,12,16,34,0,1,2.56494927406311,192,1,12,16,1,12
580,15,0,0,0,12,32,50,0,0,2.70805025100708,384,0,0,0,0,0
581,5,1,1,0,12,7,25,0,1,1.60943794250488,84,1,12,7,1,12
582,7.5,0,1,1,16,25,47,0,0,2.01490306854248,400,0,0,0,1,16
583,19,1,1,0,12,30,48,0,1,2.94443893432617,360,1,12,30,1,12
584,7,1,0,0,12,13,31,0,0,1.94591009616852,156,1,12,13,0,0
585,16.3500003814697,0,0,0,18,10,34,0,0,2.79422783851624,180,0,0,0,0,0
586,9.68000030517578,1,0,0,12,17,35,0,0,2.27006196975708,204,1,12,17,0,0
587,9.5,1,0,0,12,43,61,0,0,2.25129175186157,516,1,12,43,0,0
588,35.3800010681152,0,0,0,16,16,38,1,0,3.56614661216736,256,0,0,0,0,0
589,13.6400003433228,0,0,0,12,17,35,1,0,2.61300659179687,204,0,0,0,0,0
590,16.8299999237061,0,1,0,12,38,56,1,0,2.82316303253174,456,0,0,0,1,12
591,6.19000005722046,0,0,0,12,22,40,0,0,1.82293510437012,264,0,0,0,0,0
592,27.4699993133545,0,0,0,16,25,47,1,0,3.3130943775177,400,0,0,0,0,0
593,13.1000003814697,1,0,1,12,34,52,0,0,2.57261228561401,408,1,12,34,0,0
594,10.3000001907349,1,0,0,12,14,32,0,0,2.33214402198791,168,1,12,14,0,0
595,8,0,0,0,12,4,22,0,0,2.0794415473938,48,0,0,0,0,0
596,7.78000020980835,0,0,0,12,21,39,0,0,2.05155634880066,252,0,0,0,0,0
597,5,1,0,0,16,1,23,0,0,1.60943794250488,16,1,16,1,0,0
598,30.5799999237061,0,0,0,16,21,43,1,0,3.4203462600708,336,0,0,0,0,0
599,10,0,0,1,12,32,50,0,0,2.30258512496948,384,0,0,0,0,0
600,16.3500003814697,1,0,0,20,13,39,1,0,2.79422783851624,260,1,20,13,0,0
601,9.5,0,0,0,12,12,30,0,0,2.25129175186157,144,0,0,0,0,0
602,12.1199998855591,1,0,0,12,40,58,0,0,2.4948570728302,480,1,12,40,0,0
603,17.2700004577637,1,0,0,16,19,41,0,0,2.84897089004517,304,1,16,19,0,0
604,12,1,0,1,14,8,28,0,0,2.4849066734314,112,1,14,8,0,0
605,5,1,1,0,12,19,37,0,1,1.60943794250488,228,1,12,19,1,12
606,25.4799995422363,0,0,0,12,16,34,1,0,3.23789381980896,192,0,0,0,0,0
607,5.5,1,1,0,12,13,31,0,1,1.70474803447723,156,1,12,13,1,12
608,32.9300003051758,0,1,0,20,13,39,1,0,3.49438405036926,260,0,0,0,1,20
609,6.40000009536743,1,1,0,12,6,24,1,1,1.85629796981812,72,1,12,6,1,12
610,20.2000007629395,0,0,0,12,16,34,1,0,3.00568270683289,192,0,0,0,0,0
611,14,0,0,0,11,29,46,0,0,2.63905739784241,319,0,0,0,0,0
612,6,1,0,0,12,6,24,0,0,1.7917594909668,72,1,12,6,0,0
613,9.63000011444092,1,0,0,12,16,34,1,0,2.26488327980041,192,1,12,16,0,0
614,9.60999965667725,0,0,0,20,9,35,1,0,2.26280426979065,180,0,0,0,0,0
615,8.89999961853027,0,1,0,14,9,29,0,0,2.1860511302948,126,0,0,0,1,14
616,16.6700000762939,0,0,0,12,3,21,1,0,2.81361079216003,36,0,0,0,0,0
617,11,0,0,0,12,3,21,0,0,2.39789533615112,36,0,0,0,0,0
618,7.69999980926514,1,1,0,12,6,24,0,1,2.04122018814087,72,1,12,6,1,12
619,14.4300003051758,0,0,0,12,20,38,1,0,2.66930937767029,240,0,0,0,0,0
620,24.8700008392334,1,0,0,16,28,50,0,0,3.21366238594055,448,1,16,28,0,0
621,19,1,1,0,14,18,38,0,1,2.94443893432617,252,1,14,18,1,14
622,4.5,1,1,0,12,16,34,0,1,1.5040774345398,192,1,12,16,1,12
623,6,0,1,0,12,47,65,0,0,1.7917594909668,564,0,0,0,1,12
624,21.0799999237061,0,0,0,16,14,36,1,0,3.04832482337952,224,0,0,0,0,0
625,9.57999992370606,1,1,0,14,13,33,0,1,2.25967764854431,182,1,14,13,1,14
626,12,0,0,0,12,30,48,0,0,2.4849066734314,360,0,0,0,0,0
627,7.07000017166138,1,1,1,12,12,30,0,1,1.95586049556732,144,1,12,12,1,12
628,7,1,0,0,12,16,34,1,0,1.94591009616852,192,1,12,16,0,0
629,10.5799999237061,1,0,0,16,0,22,1,0,2.3589653968811,0,1,16,0,0,0
630,8.56999969482422,1,0,0,12,27,45,1,0,2.14826774597168,324,1,12,27,0,0
631,7.17999982833862,1,0,0,12,10,28,1,0,1.97129940986633,120,1,12,10,0,0
632,9.60999965667725,1,0,0,12,13,31,1,0,2.26280426979065,156,1,12,13,0,0
633,12.5,1,0,0,16,8,30,1,0,2.52572870254517,128,1,16,8,0,0
634,6.25,1,1,0,12,16,34,0,1,1.83258152008057,192,1,12,16,1,12
635,6,0,0,0,12,45,63,0,0,1.7917594909668,540,0,0,0,0,0
636,10,1,0,0,12,4,22,0,0,2.30258512496948,48,1,12,4,0,0
637,24.0300006866455,0,1,0,20,32,58,1,0,3.17930316925049,640,0,0,0,1,20
638,38.4599990844727,0,0,0,16,18,40,1,0,3.64961862564087,288,0,0,0,0,0
